state,misconduct,document,language,coder
California,Limits Interrogations - City Pays Interrogation Costs,California Police Bill of Rights,,2
Delaware,Limits Interrogations - Limits Transparency- Limits Oversight,Delaware Police Officer Bill of Rights,All questions directed to the officer shall be asked by and through no more than 2 investigators.,3
Illinois,Gives officers Access to Information - Limits Interrogations,Illinois Police Officer Bill of Rights,,2
Kentucky,Disqualifies Complaints - Delays interrogations - Limits Interrogations - Limits Transparency - Limits Oversight,Kentucky Police Officer Bill of Rights,"No threats, promises, or coercions shall be used at any time against any police officer while he or she is a suspect in a criminal or departmental matter.",5
Louisianna,Erases Misconduct Records - Limits Interrogations,Louisiana Police Bill of Rights,,2
Maryland,Limits Discipline - Erases Misconduct Records- Delays Interrogations - Limits Interrogations,Maryland Police Bill of Rights,Admissibility of formal complaint.- Evidence of a formal complaint against a law enforcement officer is not admissible in an administrative or judicial proceeding if the complaint resulted in an outcome listed in subsection (a)(1) of this section.,4
Minnesota,Limits Interrogations - Limits Transparency - Limits Oversight,Minnesota Police Bill of Rights,"Sessions at which a formal statement is taken must be of reasonable duration and
must give the officer reasonable periods for rest and personal necessities. When
practicable, sessions must be held during the officer's regularly scheduled work shift.
If the session is not held during the officer's regularly scheduled work shift, the
officer must be paid by the employing agency at the officer's current compensation
rate for time spent attending the session.",3
Nevada,Delays Interrogations - Limits Interrogations - Paid Leave for Misconduct - City Pays Interrogation Costs - Limits Transparency,Nevada Police Bill of Rights,,5
New Mexico,Erases Misconduct Records - Gives Officers Access to Information - Limits interrogations,New Mexico Police Officer Bill of Rights,,3
Rhode Island,Disqualifies Complaints - Delays Interrogations - Gives officers access to information - Limits Interrogations - City Pays for Legal Defense - Paid Leave for Misconduct - Limits Transparency - Limits Oversight,Rhode Island Police Officer Bill of Rights,"Disciplinary action for violation(s) of departmental rules and/or regulations
shall not be instituted against a law enforcement officer under this chapter more
than three (3) years after such incident, except where such incident involves a
potential criminal offense, in which case disciplinary action under this chapter
may be instituted at any time within the statutory period of limitations for such
offense",8
Virginia,Delays Interrogations,Virginia Police Bill of Rights,,1
Washington D.C.,Erases Misconduct Records - Disqualifies Complaints - Gives Officers Access to Information - Limits Interrogations - Paid Leave for Misconduct- Limits Transparency - Limits Oversight,Washington D.C.,,7
West Virginia,Limits Interrogations,West Virginia Police Officer Bill of Rights,No more than three interrogators at one time shall question the officer or fireman under investigation. No police officer or fireman under interrogation shall be subjected to offensive language or threatened with punitive action. No promise or reward shall be made as an inducement to answering questions.,1